Sr.No.,Entity_Types,Input_Text,Output,Person
39,"DATE, PERSON, ROUTES, LOCATION","On the evening of February 21, 2003, Border Patrol Agent Jose Jalomos, an 11-year veteran, was performing traffic observation duties along State Highway 359 southwest of Benavides, Texas.","(""entity""{tuple_delimiter}FEBRUARY 21, 2003{tuple_delimiter}DATE{tuple_delimiter} Date on which Border Patrol Agent Jose Jalomos was performing duties)
{record_delimiter}
(""entity""{tuple_delimiter}JOSE JALOMOS{tuple_delimiter}PERSON{tuple_delimiter} Border Patrol Agent involved in this case)
{record_delimiter}
(""entity""{tuple_delimiter}BORDER PATROL AGENT{tuple_delimiter}PERSON{tuple_delimiter} An Agent patrolling the Borders of the United States)
{record_delimiter}
{completion_delimiter}","JOSE JALOMOS,BORDER PATROL AGENT"
40,"PERSON, MEANS_OF_TRANSPORTATION, ROUTES",Border Patrol Agent Maria Castillo stopped a van traveling on Highway 122...,"(""entity""{tuple_delimiter}MARIA CASTILLO{tuple_delimiter}PERSON{tuple_delimiter}An agent on patrol){record_delimiter}
(""entity""{tuple_delimiter}BORDER PATROL AGENT{tuple_delimiter}PERSON{tuple_delimiter}A Border Patrol Agent of the United States){record_delimiter}
(""entity""{tuple_delimiter}HIGHWAY 122{tuple_delimiter}ROUTES{tuple_delimiter}A highway near Alpine, Texas){record_delimiter}
(""entity""{tuple_delimiter}VAN{tuple_delimiter}MEANS_OF_TRANSPORTATION{tuple_delimiter}A vehicle that was suspected of containing illegal aliens){record_delimiter}
(""relationship""{tuple_delimiter}MARIA CASTILLO{tuple_delimiter}BORDER PATROL AGENT{tuple_delimiter}Maria Castillo is a Border Patrol agent{tuple_delimiter}9){record_delimiter}
(""relationship""{tuple_delimiter}MARIA CASTILLO{tuple_delimiter}HIGHWAY 122{tuple_delimiter}Maria Castillo worked the primary inspection lane at the Border Patrol checkpoint on Highway 122{tuple_delimiter}9){record_delimiter}","MARIA CASTILLO,BORDER PATROL AGENT"
41,"DATE, PERSON, LOCATION","On May 15, 2002, Santos approached a group of undocumented migrants in Oaxaca, Mexico...","(""entity""{tuple_delimiter}MAY 15, 2002{tuple_delimiter}DATE{tuple_delimiter}Date on which Santos approached a group of undocumented migrants in Oaxaca, Mexico){record_delimiter}
(""entity""{tuple_delimiter}SANTOS{tuple_delimiter}PERSON{tuple_delimiter}A potential smuggler){record_delimiter}
(""entity""{tuple_delimiter}MIGRANTS{tuple_delimiter}PERSON{tuple_delimiter}Illegal immigrants without proper documentation){record_delimiter}
(""entity""{tuple_delimiter}OAXACA, MEXICO{tuple_delimiter}LOCATION{tuple_delimiter}Location where Santos approached the migrants){record_delimiter}
(""relationship""{tuple_delimiter}SANTOS{tuple_delimiter}MAY 15, 2002{tuple_delimiter}On this date, Santos approached the undocumented migrants{tuple_delimiter}9){record_delimiter}
(""relationship""{tuple_delimiter}SANTOS{tuple_delimiter}MIGRANTS{tuple_delimiter}Santos had approached undocumented migrants{tuple_delimiter}9){record_delimiter}
(""relationship""{tuple_delimiter}SANTOS{tuple_delimiter}OAXACA, MEXICO{tuple_delimiter}Santos had approached undocumented migrants in Oaxaca, Mexico{tuple_delimiter}9){record_delimiter}","SANTOS,MIGRANTS"
42,"PERSON, LOCATION",Border patrol agents from the El Centro Station were alerted by a ranch hand about an undocumented female migrant at the Silver Creek Ranch.,"(""entity""{tuple_delimiter}BORDER PATROL AGENT{tuple_delimiter}PERSON{tuple_delimiter}A Border Patrol Agent of the United States){record_delimiter}
(""entity""{tuple_delimiter}MIGRANTS{tuple_delimiter}PERSON{tuple_delimiter}Illegal immigrants without proper documentation){record_delimiter}
(""entity""{tuple_delimiter}SILVER CREEK RANCH{tuple_delimiter}LOCATION{tuple_delimiter}A ranch where an undocumented female migrant was in distress){record_delimiter}
(""relationship""{tuple_delimiter}BORDER PATROL AGENT{tuple_delimiter}SILVER CREEK RANCH{tuple_delimiter}Border patrol agents from the El Centro Station were notified about an undocumented migrant at Silver Creek Ranch{tuple_delimiter}9){record_delimiter}","BORDER PATROL AGENT,MIGRANTS"
43,"PERSON, LOCATION,FEES",Santos stated he was the only guide for the group and was guiding them to El Paso for $500 per migrant.,"(""entity""{tuple_delimiter}SANTOS{tuple_delimiter}PERSON{tuple_delimiter}A potential guide/smuggler){record_delimiter}
(""entity""{tuple_delimiter}MIGRANTS{tuple_delimiter}PERSON{tuple_delimiter}Illegal immigrants without proper documentation){record_delimiter}
(""entity""{tuple_delimiter}EL PASO{tuple_delimiter}LOCATION{tuple_delimiter}Place where Santos claimed he was guiding the migrants to){record_delimiter}
(""entity""{tuple_delimiter}$500{tuple_delimiter}FEES{tuple_delimiter}Fees charged by Santos for guiding each migrant){record_delimiter}
(""relationship""{tuple_delimiter}SANTOS{tuple_delimiter}$500{tuple_delimiter}Financial gain of Santos for guiding each migrant to El Paso{tuple_delimiter}9){record_delimiter}
(""relationship""{tuple_delimiter}SANTOS{tuple_delimiter}EL PASO{tuple_delimiter}Santos was guiding migrants to El Paso{tuple_delimiter}9){record_delimiter}","SANTOS,MIGRANTS"
44,"PERSON, MEANS_OF_TRANSPORTATION, ROUTES",Agent Elena Morales noticed a dark green Chevy Tahoe traveling southbound on SR-45.,"(""entity""{tuple_delimiter}ELENA MORALES{tuple_delimiter}PERSON{tuple_delimiter}An agent on patrol){record_delimiter}
(""entity""{tuple_delimiter}AGENT{tuple_delimiter}PERSON{tuple_delimiter}A Border Patrol Agent of the United States){record_delimiter}
(""entity""{tuple_delimiter}SR-45{tuple_delimiter}ROUTES{tuple_delimiter}A US highway){record_delimiter}
(""entity""{tuple_delimiter}DARK GREEN CHEVY TAHOE{tuple_delimiter}MEANS_OF_TRANSPORTATION{tuple_delimiter}A vehicle that was suspected){record_delimiter}
(""relationship""{tuple_delimiter}ELENA MORALES{tuple_delimiter}AGENT{tuple_delimiter}Elena Morales is a Border Patrol agent{tuple_delimiter}9){record_delimiter}
(""relationship""{tuple_delimiter}ELENA MORALES{tuple_delimiter}SR-45{tuple_delimiter}Elena Morales noticed a dark green Chevy Tahoe traveling southbound on SR-45{tuple_delimiter}9){record_delimiter}
(""relationship""{tuple_delimiter}ELENA MORALES{tuple_delimiter}DARK GREEN CHEVY TAHOE{tuple_delimiter}Elena Morales noticed a dark green Chevy Tahoe traveling southbound on SR-45{tuple_delimiter}9){record_delimiter}","ELENA MORALES,AGENT"
45,"PERSON, MEANS_OF_TRANSPORTATION, ROUTES",Carlos Jimenez was driving a compact SUV south on Freeway 89.,"(""entity""{tuple_delimiter}CARLOS JIMENEZ{tuple_delimiter}PERSON{tuple_delimiter}A person driving a compact SUV){record_delimiter}
(""entity""{tuple_delimiter}FREEWAY 89{tuple_delimiter}ROUTES{tuple_delimiter}A US highway){record_delimiter}
(""entity""{tuple_delimiter}COMPACT SUV{tuple_delimiter}MEANS_OF_TRANSPORTATION{tuple_delimiter}A vehicle that was suspected){record_delimiter}
(""relationship""{tuple_delimiter}CARLOS JIMENEZ{tuple_delimiter}COMPACT SUV{tuple_delimiter}Carlos Jimenez was driving a compact SUV{tuple_delimiter}9){record_delimiter}
(""relationship""{tuple_delimiter}CARLOS JIMENEZ{tuple_delimiter}FREEWAY 89{tuple_delimiter}Carlos Jimenez was driving a compact SUV{tuple_delimiter}9){record_delimiter}",CARLOS JIMENEZ
46,"PERSON, LOCATION,FEES","One of the passengers, Lucia Romero-Alvarez, testified she found a smuggler named Diego to take her from Guatemala to the U.S., and her cousin in Phoenix paid him $900 upon her arrival.","(""entity""{tuple_delimiter}LUCIA ROMERO-ALVAREZ{tuple_delimiter}PERSON{tuple_delimiter}One of the passengers){record_delimiter}
(""entity""{tuple_delimiter}DIEGO{tuple_delimiter}PERSON{tuple_delimiter}A smuggler){record_delimiter}
(""entity""{tuple_delimiter}$900{tuple_delimiter}FEES{tuple_delimiter}Fee paid by Lucia's cousin upon her arrival in Phoenix){record_delimiter}
(""relationship""{tuple_delimiter}LUCIA ROMERO-ALVAREZ{tuple_delimiter}DIEGO{tuple_delimiter}Lucia found a smuggler named Diego to take her from Guatemala to the U.S.{tuple_delimiter}9){record_delimiter}
(""relationship""{tuple_delimiter}DIEGO{tuple_delimiter}$900{tuple_delimiter}Lucia's cousin in Phoenix paid Diego $900 upon her arrival{tuple_delimiter}9){record_delimiter}","LUCIA ROMERO-ALVAREZ,DIEGO"
47,"PERSON, MEANS_OF_TRANSPORTATION, ROUTES",Border Patrol Agents Ron Torralba ... stopped a van traveling on Highway 286...,"(""entity""{tuple_delimiter}RON TORRALBA{tuple_delimiter}PERSON{tuple_delimiter} An agent on patrol)
{record_delimiter}
(""entity""{tuple_delimiter}BORDER PATROL AGENT{tuple_delimiter}PERSON{tuple_delimiter} A Border Patrol Agent of the United States)
{record_delimiter}
(""entity""{tuple_delimiter}HIGHWAY 286{tuple_delimiter}ROUTES{tuple_delimiter} A highway near Encinal, Texas)
{record_delimiter}
(""entity""{tuple_delimiter}VAN{tuple_delimiter}MEANS_OF_TRANSPORTATION{tuple_delimiter} A vehicle that was suspected of containing illegal aliens)
{record_delimiter}
(""relationship""{tuple_delimiter}RON TORRALBA{tuple_delimiter}BORDER PATROL AGENT{tuple_delimiter}Ron Torralba is a Border Patrol agent{tuple_delimiter}9)
{record_delimiter}
(""relationship""{tuple_delimiter}RON TORRALBA{tuple_delimiter}HIGHWAY 286{tuple_delimiter}Ron Torralba worked the primary inspection lane at the Border Patrol checkpoint on Highway 286{tuple_delimiter}9)
{record_delimiter}
{completion_delimiter}","RON TORRALBA,BORDER PATROL AGENT"
48,"DATE, PERSON, LOCATION","On June 4, 2001, Garcia approached a group of nine undocumented aliens in San Luis, Potosi, Mexico...","""(""entity""{tuple_delimiter}JUNE 4, 2001{tuple_delimiter}DATE{tuple_delimiter} Date on which Garcia approached a group of nine undocumented aliens in San Luis, Potosi, Mexico)
{record_delimiter}
(""entity""{tuple_delimiter}GARCIA{tuple_delimiter}PERSON{tuple_delimiter} Apotential smuggler)
{record_delimiter}
(""entity""{tuple_delimiter}ALIENS{tuple_delimiter}PERSON{tuple_delimiter} Illegal immigratns without proper documentation)
{record_delimiter}
(""entity""{tuple_delimiter}SAN LUIS, POTOSI, MEXICO{tuple_delimiter}LOCATION{tuple_delimiter} Location where Garcia approached the aliens)
{record_delimiter}
(""relationship""{tuple_delimiter}GARCIA{tuple_delimiter}JUNE 4, 2001{tuple_delimiter}On this date, Garcia approached the undocumented aliens{tuple_delimiter}9)
{record_delimiter}
(""relationship""{tuple_delimiter}GARCIA{tuple_delimiter}ALIENS{tuple_delimiter}Garcia had approached nine undocumented aliens{tuple_delimiter}9)
{record_delimiter}
(""relationship""{tuple_delimiter}GARCIA{tuple_delimiter}SAN LUIS, POTOSI, MEXICO{tuple_delimiter}Garcia had approached undocumented aliens in San Luis, Potosi, Mexico{tuple_delimiter}9)
{record_delimiter}
{completion_delimiter}""",BORDER PATROL AGENTS
49,"PERSON, LOCATION",Border patrol agents from the Laredo South Station were notified by the ranch hand that an undocumented female alien was in apparent distress at the La Moca Ranch.,"(""entity""{tuple_delimiter}BORDER PATROL AGENT{tuple_delimiter}PERSON{tuple_delimiter} A Border Patrol Agent of the United States)
{record_delimiter}
(""entity""{tuple_delimiter}ALIENS{tuple_delimiter}PERSON{tuple_delimiter} Illegal immigrants without proper documentation)
{record_delimiter}
(""entity""{tuple_delimiter}LA MOCA RANCH{tuple_delimiter}LOCATION{tuple_delimiter} A ranch where an undocumented female alien was in apparent distress)
{record_delimiter}
(""relationship""{tuple_delimiter}BORDER PATROL AGENT{tuple_delimiter}LA MOCA RANCH{tuple_delimiter}Border patrol agents from the Laredo South Station were notified by the ranch hand that an undocumented female alien was in apparent distress at the La Moca Ranch{tuple_delimiter}9)
{record_delimiter}
{completion_delimiter}","BORDER PATROL AGENT,ALIENS"
50,"PERSON, LOCATION,FEES","Garcia stated that he was the only guide for the group, that he was guiding the group to San Antonio for financial gain ($ 400 per alien)...","(""entity""{tuple_delimiter}GARCIA{tuple_delimiter}PERSON{tuple_delimiter} A potantial guide/smuggler)
{record_delimiter}
(""entity""{tuple_delimiter}ALIENS{tuple_delimiter}PERSON{tuple_delimiter} Illegal immigrants without proper documentation)
{record_delimiter}
(""entity""{tuple_delimiter}SAN ANTONIO{tuple_delimiter}LOCATION{tuple_delimiter} Place where Garcia claimed he was guiding the group of aliens to)
{record_delimiter}
(""entity""{tuple_delimiter}$ 400{tuple_delimiter}FEES{tuple_delimiter} Fees charged by Garcia for guiding each alien)
{record_delimiter}
(""relationship""{tuple_delimiter}GARCIA{tuple_delimiter}$ 400{tuple_delimiter} Garcia received $400 as fee  for guiding each alien to San Antonio{tuple_delimiter}9)
{record_delimiter}
(""relationship""{tuple_delimiter}GARCIA{tuple_delimiter}SAN ANTONIO{tuple_delimiter}Garcia was guiding aliens to San Antonio{tuple_delimiter}9)
{record_delimiter}
{completion_delimiter}","GARCIA,ALIENS"
51,"PERSON, MEANS_OF_TRANSPORTATION, ROUTES",Agent Ortiz noticed a maroon Ford Expedition traveling southbound on IH-35.,"(""entity""{tuple_delimiter}ORTIZ{tuple_delimiter}PERSON{tuple_delimiter} An agent on patrol)
{record_delimiter}
(""entity""{tuple_delimiter}AGENT{tuple_delimiter}PERSON{tuple_delimiter} A Border Patrol Agent of the United States)
{record_delimiter}
(""entity""{tuple_delimiter}IH-35{tuple_delimiter}ROUTES{tuple_delimiter} A US highway)
{record_delimiter}
(""entity""{tuple_delimiter}MAROON FORD EXPEDITION{tuple_delimiter}MEANS_OF_TRANSPORTATION{tuple_delimiter} A vehicle that was suspected)
{record_delimiter}
(""relationship""{tuple_delimiter}ORTIZ{tuple_delimiter}AGENT{tuple_delimiter}Ortiz is a Border Patrol agent{tuple_delimiter}9)
{record_delimiter}
(""relationship""{tuple_delimiter}ORTIZ{tuple_delimiter}IH-35{tuple_delimiter}Agent Ortiz noticed a maroon Ford Expedition traveling southbound on IH-35{tuple_delimiter}9)
{record_delimiter}
(""relationship""{tuple_delimiter}ORTIZ{tuple_delimiter}MAROON FORD EXPEDITION{tuple_delimiter}  Agent Ortiz noticed a maroon Ford Expedition traveling southbound on IH-35{tuple_delimiter}9)
{record_delimiter}
{completion_delimiter}","ORTIZ,AGENT"
52,"PERSON, MEANS_OF_TRANSPORTATION, ROUTES",Fernando Munoz-Martinez was driving a pickup-truck south on Interstate 35.,"(""entity""{tuple_delimiter}FERNANDO MUNOZ-MARTINEZ{tuple_delimiter}PERSON{tuple_delimiter} A person driving a pick-up truck)
{record_delimiter}
(""entity""{tuple_delimiter}INTERSTATE 35{tuple_delimiter}ROUTES{tuple_delimiter} A US highway)
{record_delimiter}
(""entity""{tuple_delimiter}PICKUP-TRUCK{tuple_delimiter}MEANS_OF_TRANSPORTATION{tuple_delimiter} A vehicle that was suspected)
{record_delimiter}
(""relationship""{tuple_delimiter}FERNANDO MUNOZ-MARTINEZ{tuple_delimiter}PICKUP-TRUCK{tuple_delimiter}Fernando Munoz-Martinez was driving a pickup-truck{tuple_delimiter}9)
{record_delimiter}
(""relationship""{tuple_delimiter}FERNANDO MUNOZ-MARTINEZ{tuple_delimiter}INTERSTATE 35{tuple_delimiter}Fernando Munoz-Martinez was driving a pickup-truck south on Interstate 35{tuple_delimiter}9)
{record_delimiter}
{completion_delimiter}",FERNANDO MUNOZ-MARTINEZ
53,"PERSON, LOCATION,FEES","One of the passengers, Fabiola Beatriz Contreras-Puente, testified at trial that she found a smuggler named Paolo to bring her illegally from Mexico to the United States, and that her brother in Houston agreed to pay him $ 1,000 upon her arrival in San Antonio.","(""entity""{tuple_delimiter}FABIOLA BEATRIZ CONTRERAS-PUENTE{tuple_delimiter}PERSON{tuple_delimiter} One of the passengers)
{record_delimiter}
(""entity""{tuple_delimiter}PAOLO{tuple_delimiter}PERSON{tuple_delimiter} A smuggler)
{record_delimiter}
(""entity""{tuple_delimiter}$ 1,000{tuple_delimiter}FEES{tuple_delimiter} Fee to pay Paolo from Fabiola's brother on her arrival in San Antonio)
{record_delimiter}
(""relationship""{tuple_delimiter}FABIOLA BEATRIZ CONTRERAS-PUENTE{tuple_delimiter}PAOLO{tuple_delimiter}Fabiola found a smuggler named Paolo to bring her illegally from Mexico to the United States{tuple_delimiter}9)
{record_delimiter}
(""relationship""{tuple_delimiter}PAOLO{tuple_delimiter}$ 1,000{tuple_delimiter}Fabiola's brother in Houston agreed to pay him $ 1,000 upon her arrival in San Antonio{tuple_delimiter}9)
{record_delimiter}
{completion_delimiter}","FABIOLA BEATRIZ CONTRERAS-PUENTE,PAOLO"
54,"PERSON, LOCATION","Paolo drove Contreras-Puente ... to Nuevo Laredo, Tamaulipas, Mexico","(""entity""{tuple_delimiter}CONTRERAS-PUENTE{tuple_delimiter}PERSON{tuple_delimiter} One of the passengers)
{record_delimiter}
(""entity""{tuple_delimiter}PAOLO{tuple_delimiter}PERSON{tuple_delimiter} A smuggler)
{record_delimiter}
(""entity""{tuple_delimiter}NUEVO LAREDO, TAMAULIPAS, MEXICO{tuple_delimiter}LOCATION{tuple_delimiter} A location where Paolo drove to)
{record_delimiter}
(""relationship""{tuple_delimiter}PAOLO{tuple_delimiter}NUEVO LAREDO, TAMAULIPAS, MEXICO{tuple_delimiter}Paolo drove Contreras-Puente to Nuevo Laredo, Tamaulipas, Mexico{tuple_delimiter}9)
{record_delimiter}
{completion_delimiter}","CONTRERAS-PUENTE,PAOLO"
55,"DATE, PERSON, MEANS_OF_TRANSPORTATION","On August 4, 1999, Border Patrol agents observed a 1982 Ford F-150 extended cab pickup truck pull into a commercial gravel pit adjacent to Mines Road, a divided highway in northern Laredo, Texas.","(""entity""{tuple_delimiter}AUGUST 4, 1999{tuple_delimiter}DATE{tuple_delimiter} Date on which Border Patrol agents observed a suspiscious vehicle)
{record_delimiter}
(""entity""{tuple_delimiter}GARCIA{tuple_delimiter}PERSON{tuple_delimiter} Apotential smuggler)
{record_delimiter}
(""entity""{tuple_delimiter}ALIENS{tuple_delimiter}PERSON{tuple_delimiter} Illegal immigratns without proper documentation)
{record_delimiter}
(""entity""{tuple_delimiter}SAN LUIS, POTOSI, MEXICO{tuple_delimiter}LOCATION{tuple_delimiter} Location where Garcia approached the aliens)
{record_delimiter}
(""relationship""{tuple_delimiter}GARCIA{tuple_delimiter}JUNE 4, 2001{tuple_delimiter}On this date, Garcia approached the undocumented aliens{tuple_delimiter}9)
{record_delimiter}
(""relationship""{tuple_delimiter}GARCIA{tuple_delimiter}ALIENS{tuple_delimiter}Garcia had approached nine undocumented aliens{tuple_delimiter}9)
{record_delimiter}
(""relationship""{tuple_delimiter}GARCIA{tuple_delimiter}SAN LUIS, POTOSI, MEXICO{tuple_delimiter}Garcia had approached undocumented aliens in San Luis, Potosi, Mexico{tuple_delimiter}9)
{record_delimiter}
{completion_delimiter}",BORDER PATROL AGENTS
56,"PERSON, SMUGGLED_ITEMS, LOCATION","Miguel Alvarez transported undocumented aliens along Interstate 988 before arriving at a stash house in Nuevo León, where illegal weapons were stored.","(""entity""{tuple_delimiter}MIGUEL ALVAREZ{tuple_delimiter}PERSON{tuple_delimiter}A smuggler involved in transporting undocumented aliens and illegal weapons)
{record_delimiter}
(""entity""{tuple_delimiter}SMUGGLER{tuple_delimiter}PERSON{tuple_delimiter}An individual engaged in illegal human smuggling activities)
{record_delimiter}
(""entity""{tuple_delimiter}UNDOCUMENTED ALIENS{tuple_delimiter}SMUGGLED_ITEMS{tuple_delimiter}A group of individuals smuggled across the border without legal documentation)
{record_delimiter}
(""entity""{tuple_delimiter}ILLEGAL WEAPONS{tuple_delimiter}SMUGGLED_ITEMS{tuple_delimiter}Firearms and other restricted weapons illegally transported and stored)
{record_delimiter}
(""entity""{tuple_delimiter}INTERSTATE 988{tuple_delimiter}ROUTES{tuple_delimiter}A known smuggling route used to transport undocumented aliens without detection)
{record_delimiter}
(""entity""{tuple_delimiter}NUEVO LEÓN{tuple_delimiter}LOCATION{tuple_delimiter}A city where illegal weapons were stored and smuggling operations were coordinated)
{record_delimiter}
(""entity""{tuple_delimiter}STASH HOUSE{tuple_delimiter}LOCATION{tuple_delimiter}A hidden facility used to shelter undocumented aliens and store illegal weapons before further transport)
{record_delimiter}
(""relationship""{tuple_delimiter}MIGUEL ALVAREZ{tuple_delimiter}SMUGGLER{tuple_delimiter}Miguel Alvarez is identified as a smuggler involved in this case{tuple_delimiter}8)
{record_delimiter}
(""relationship""{tuple_delimiter}MIGUEL ALVAREZ{tuple_delimiter}UNDOCUMENTED ALIENS{tuple_delimiter}Miguel Alvarez was responsible for smuggling undocumented aliens along Interstate 988{tuple_delimiter}9)
{record_delimiter}
(""relationship""{tuple_delimiter}MIGUEL ALVAREZ{tuple_delimiter}ILLEGAL WEAPONS{tuple_delimiter}Miguel Alvarez was involved in smuggling and storing illegal weapons at the stash house{tuple_delimiter}8)
{record_delimiter}
(""relationship""{tuple_delimiter}UNDOCUMENTED ALIENS{tuple_delimiter}INTERSTATE 988{tuple_delimiter}Undocumented aliens were transported via Interstate 988 to avoid detection{tuple_delimiter}8)
{record_delimiter}
(""relationship""{tuple_delimiter}ILLEGAL WEAPONS{tuple_delimiter}STASH HOUSE{tuple_delimiter}Illegal weapons were stored in the stash house before being distributed{tuple_delimiter}8)
{record_delimiter}
(""relationship""{tuple_delimiter}UNDOCUMENTED ALIENS{tuple_delimiter}STASH HOUSE{tuple_delimiter}Undocumented aliens were brought to the stash house before further transport{tuple_delimiter}7)
{record_delimiter}
(""relationship""{tuple_delimiter}STASH HOUSE{tuple_delimiter}NUEVO LEÓN{tuple_delimiter}The stash house was located in Mirpur, serving as a hub for illegal activities{tuple_delimiter}7)
{record_delimiter}
{completion_delimiter}","MIGUEL ALVAREZ,SMUGGLER"
57,"DATE, PERSON, ROUTES, LOCATION","On June 11, 2009, Border Patrol Agents Victor Barberena and Abraham Esqueda were engaged in a roving border patrol on Interstate Highway 35 (""I-35"") between Laredo and San Antonio.","(""entity""{tuple_delimiter}JUNE 11, 2009{tuple_delimiter}DATE{tuple_delimiter} Date on which Border Patrol agents were in a roving border patrol on Interstate Highway 35)
{record_delimiter}
(""entity""{tuple_delimiter}BORDER PATROL AGENT{tuple_delimiter}PERSON{tuple_delimiter} An Agent patrolling the Borders of the United States)
{record_delimiter}
(""entity""{tuple_delimiter}VICTOR BARBERENA{tuple_delimiter}PERSON{tuple_delimiter} A border patrol agent on patrol duty)
{record_delimiter}
(""entity""{tuple_delimiter}ABRAHAM ESQUEDA{tuple_delimiter}PERSON{tuple_delimiter} A border patrol agent on patrol duty)
{record_delimiter}
(""entity""{tuple_delimiter}INTERSTATE HIGHWAY 35{tuple_delimiter}ROUTES{tuple_delimiter} A US highway)
{record_delimiter}
(""entity""{tuple_delimiter}LAREDO{tuple_delimiter}LOCATION{tuple_delimiter} Location near where border patrol agents were on patrol)
{record_delimiter}
(""entity""{tuple_delimiter}SAN ANTONIO{tuple_delimiter}LOCATION{tuple_delimiter} Location near where border patrol agents were on patrol)
{record_delimiter}
(""relationship""{tuple_delimiter}VICTOR BARBERENA{tuple_delimiter}JUNE 11, 2009{tuple_delimiter}On this date, Border Patrol Agent Victor Barberena was engaged in a roving border patrol{tuple_delimiter}9)
{record_delimiter}
(""relationship""{tuple_delimiter}ABRAHAM ESQUEDA{tuple_delimiter}JUNE 11, 2009{tuple_delimiter}On this date, Border Patrol Agent Abraham Esqueda was engaged in a roving border patrol{tuple_delimiter}9)
{record_delimiter}
(""relationship""{tuple_delimiter}VICTOR BARBERENA{tuple_delimiter}INTERSTATE HIGHWAY 35{tuple_delimiterBorder Patrol Agents Victor Barberena was engaged in a roving border patrol on Interstate Highway 35 {tuple_delimiter}9)
{record_delimiter}
(""relationship""{tuple_delimiter}ABRAHAM ESQUEDA{tuple_delimiter}INTERSTATE HIGHWAY 35{tuple_delimiterBorder Patrol Agents Abraham Esqueda was engaged in a roving border patrol on Interstate Highway 35 {tuple_delimiter}9)
{record_delimiter}
{completion_delimiter}","VICTOR BARBERENA,ABRAHAM ESQUEDA"
58,"PERSON, MEANS_OF_TRANSPORTATION","The agents testified that as the Nissan passed the bushes, Delacruz turned and, upon seeing the agents, gave a ""surprised look"" and immediately ducked down and leaned back into his seat, out of the agents' view.","(""entity""{tuple_delimiter}AGENTS{tuple_delimiter}PERSON{tuple_delimiter} Border Patrol agents of US)
{record_delimiter}
(""entity""{tuple_delimiter}DELACRUZ{tuple_delimiter}PERSON{tuple_delimiter} A smuggler)
{record_delimiter}
(""entity""{tuple_delimiter}NISSAN{tuple_delimiter}MEANS_OF_TRANSPORTATION{tuple_delimiter} A vehicle which was being used for smuggling aliens)
{record_delimiter}
(""relationship""{tuple_delimiter}DELACRUZ{tuple_delimiter}NISSAN{tuple_delimiter}Delacruz was driving a Nissan{tuple_delimiter}9)
{record_delimiter}
{completion_delimiter}","AGENTS,DELACRUZ"
59,"LOCATION, ROUTES","Once back near Pearsall, the vehicle pulled into the gas station at exit 101, again rather abruptly, and parked near a pump.","(""entity""{tuple_delimiter}PEARSALL{tuple_delimiter}LOCATION{tuple_delimiter} A city in Texas)
{record_delimiter}
(""entity""{tuple_delimiter}EXIT 101{tuple_delimiter}PERSON{tuple_delimiter} A route in Texas)
{record_delimiter}
{completion_delimiter}",
60,MEANS_OF_TRANSPORTATION,They observed a white 1992 Ford pickup truck drive up to the gate from within the ranch.,"(""entity""{tuple_delimiter}1992 FORD PICKUP TRUCK{tuple_delimiter}MEANS_OF_TRANSPORTATION{tuple_delimiter} A vehicle suspected for smuggling)
{record_delimiter}
{completion_delimiter}",
61,"PERSON, LOCATION","When questioned about his citizenship, Movant admitted that he was a citizen of the Dominican Republic who had entered the United States illegally by wading across the Rio Grande River near the Hidalgo, Texas, Port of Entry","(""entity""{tuple_delimiter}MOVANT{tuple_delimiter}PERSON{tuple_delimiter} A person who illegally entered US)
{record_delimiter}
(""entity""{tuple_delimiter}RIO GRANDE RIVER{tuple_delimiter}LOCATION{tuple_delimiter} A river in Texas notorious for illegal entry by aliens)
{record_delimiter}
(""entity""{tuple_delimiter}HIDALGO, TEXAS, PORT OF ENTRY{tuple_delimiter}LOCATION{tuple_delimiter} A port of entry into US)
{record_delimiter}
(""relationship""{tuple_delimiter}MOVANT{tuple_delimiter}RIO GRANDE RIVER{tuple_delimiter}Movant admitted that he had entered the United States illegally by wading across the Rio Grande River{tuple_delimiter}9)
{record_delimiter}
{completion_delimiter}",MOVANT
62,"PERSON, MEANS_OF_TRANSPORTATION",Border Patrol Agent Sarah Lee was on patrol and observed a truck pass.,"(""entity""{tuple_delimiter}SARAH LEE{tuple_delimiter}PERSON{tuple_delimiter}Sarah Lee is a border patrol agent who was on patrol)
{record_delimiter}
(""entity""{tuple_delimiter}BORDER PATROL AGENT{tuple_delimiter}PERSON{tuple_delimiter}An Agent patrolling the Borders of the United States)
{record_delimiter}
(""entity""{tuple_delimiter}TRUCK{tuple_delimiter}MEANS_OF_TRANSPORTATION{tuple_delimiter}Agent Sarah Lee had observed a truck pass while on patrol)
{record_delimiter}
(""relationship""{tuple_delimiter}SARAH LEE{tuple_delimiter}BORDER PATROL AGENT{tuple_delimiter}Sarah Lee is a Border Patrol Agent{tuple_delimiter}8)
{record_delimiter}
(""relationship""{tuple_delimiter}SARAH LEE{tuple_delimiter}TRUCK{tuple_delimiter}Sarah Lee had observed a truck pass while on patrol{tuple_delimiter}8)
{record_delimiter}
{completion_delimiter}","SARAH LEE,BORDER PATROL AGENT"
