Row_ID,TP_entities,FP_entities,FN_entities,TP_rel,FP_rel,FN_rel,TP_entity_pairs,FP_entity_pairs,FN_entity_pairs,TP_relation_pairs,FP_relation_pairs,FN_relation_pairs
17,9,5,3,1,6,10,"('alejandro gonzalez delgado', 'person'); ('bus', 'means_of_transportation'); ('mexico', 'location'); ('ortega-chavez', 'person'); ('ramon gonzalez sanchez', 'person'); ('sabinas hidalgo', 'location'); ('taxi', 'means_of_transportation'); ('united states', 'location'); ('van', 'means_of_transportation')","('aliens', 'person'); ('bridge', 'routes'); ('hidden compartment', 'location'); ('merchandise', 'smuggled_items'); ('nuevo la redo', 'location')","('bridge', 'location'); ('five undocumented aliens', 'person'); ('nuevo laredo', 'location')","('ramon gonzalez sanchez', 'van')","('alejandro gonzalez delgado', 'ortega-chavez'); ('aliens', 'bridge'); ('aliens', 'hidden compartment'); ('bridge', 'ortega-chavez'); ('merchandise', 'ramon gonzalez sanchez'); ('ortega-chavez', 'ramon gonzalez sanchez')","('bridge', 'van'); ('bus', 'five undocumented aliens'); ('five undocumented aliens', 'taxi'); ('five undocumented aliens', 'van'); ('mexico', 'ortega-chavez'); ('mexico', 'ramon gonzalez sanchez'); ('nuevo laredo', 'ortega-chavez'); ('ortega-chavez', 'sabinas hidalgo'); ('ortega-chavez', 'united states'); ('ramon gonzalez sanchez', 'united states')"
18,0,4,4,0,4,4,,"('agent graham', 'person'); ('alian', 'person'); ('border patrol', 'organization'); ('texas highway 385', 'location')","('aliens', 'person'); ('graham', 'person'); ('other nearby highways', 'routes'); ('texas highway 385', 'routes')",,"('agent graham', 'alian'); ('agent graham', 'border patrol'); ('agent graham', 'texas highway 385'); ('border patrol', 'texas highway 385')","('aliens', 'graham'); ('aliens', 'texas highway 385'); ('graham', 'other nearby highways'); ('graham', 'texas highway 385')"
19,6,2,1,3,8,1,"('carlos enrique cruz-morales', 'person'); ('guatemala', 'location'); ('hector galvencio paz-ortega', 'person'); ('mejia-orosco', 'person'); ('mexico', 'location'); ('united states', 'location')","('nuevo laredo, tamaulipas', 'location'); ('truck', 'means_of_transportation')","('nuevo laredo', 'location')","('carlos enrique cruz-morales', 'mejia-orosco'); ('guatemala', 'mejia-orosco'); ('hector galvencio paz-ortega', 'mejia-orosco')","('carlos enrique cruz-morales', 'guatemala'); ('carlos enrique cruz-morales', 'nuevo laredo, tamaulipas'); ('guatemala', 'hector galvencio paz-ortega'); ('hector galvencio paz-ortega', 'nuevo laredo, tamaulipas'); ('mejia-orosco', 'mexico'); ('mejia-orosco', 'truck'); ('mejia-orosco', 'united states'); ('mexico', 'nuevo laredo, tamaulipas')","('mejia-orosco', 'nuevo laredo')"
20,5,6,0,2,4,6,"('cruz-morales', 'person'); ('laredo, texas', 'location'); ('mejia-orosco', 'person'); ('paz-ortega', 'person'); ('rio grande', 'location')","('aliens', 'person'); ('bridge', 'location'); ('cruz-morales', 'aliens'); ('mejia-orosco', 'aliens'); ('mejia-orosco', 'van'); ('paz-ortega', 'aliens')",,"('cruz-morales', 'rio grande'); ('paz-ortega', 'rio grande')","('aliens', 'laredo, texas'); ('aliens', 'mejia-orosco'); ('aliens', 'rio grande'); ('bridge', 'mejia-orosco')","('cruz-morales', 'laredo, texas'); ('cruz-morales', 'mejia-orosco'); ('cruz-morales', 'paz-ortega'); ('laredo, texas', 'mejia-orosco'); ('laredo, texas', 'paz-ortega'); ('mejia-orosco', 'paz-ortega')"
21,5,6,0,0,11,0,"('cruz-morales', 'person'); ('laredo international airport', 'location'); ('mejia-orosco', 'person'); ('paz-ortega', 'person'); ('san antonio', 'location')","('airline ticket', 'smuggled_items'); ('aliens', 'person'); ('los angeles', 'location'); ('motel room', 'location'); ('new york city', 'location'); ('san antonio international airport', 'location')",,,"('airline ticket', 'aliens'); ('aliens', 'los angeles'); ('aliens', 'mejia-orosco'); ('aliens', 'motel room'); ('aliens', 'new york city'); ('cruz-morales', 'mejia-orosco'); ('laredo international airport', 'mejia-orosco'); ('mejia-orosco', 'motel room'); ('mejia-orosco', 'paz-ortega'); ('mejia-orosco', 'san antonio'); ('mejia-orosco', 'san antonio international airport')",
22,1,3,1,1,3,0,"('mejia-orosco', 'person')","('aliens', 'person'); ('illegally transporting aliens', 'smuggled_items'); ('united states', 'location')","('aliens', 'smuggled_items')","('aliens', 'mejia-orosco')","('aliens', 'illegally transporting aliens'); ('illegally transporting aliens', 'mejia-orosco'); ('mejia-orosco', 'united states')",
23,2,5,3,0,6,7,"('codefendant', 'person'); ('defendant', 'person')","('africa', 'location'); ('agent henderson', 'person'); ('ghana', 'location'); ('montreal', 'location'); ('quebec', 'location')","('ghana, africa', 'location'); ('henderson', 'person'); ('quebec, montreal, canada', 'location')",,"('africa', 'ghana'); ('codefendant', 'ghana'); ('codefendant', 'quebec'); ('defendant', 'ghana'); ('defendant', 'quebec'); ('montreal', 'quebec')","('codefendant', 'defendant'); ('codefendant', 'ghana, africa'); ('codefendant', 'henderson'); ('codefendant', 'quebec, montreal, canada'); ('defendant', 'ghana, africa'); ('defendant', 'henderson'); ('defendant', 'quebec, montreal, canada')"
24,2,2,2,2,2,4,"('aliens', 'person'); ('highway 359', 'routes')","('agent henderson', 'person'); ('diesel impact 2000', 'means_of_transportation')","('diesel impact 2000', 'location'); ('henderson', 'person')","('aliens', 'diesel impact 2000'); ('aliens', 'highway 359')","('agent henderson', 'aliens'); ('agent henderson', 'diesel impact 2000')","('aliens', 'henderson'); ('diesel impact 2000', 'henderson'); ('diesel impact 2000', 'highway 359'); ('henderson', 'highway 359')"
25,3,1,1,1,3,5,"('fonseca', 'person'); ('laredo, texas', 'location'); ('santos', 'person')","('car', 'means_of_transportation')","('border patrol checkpoint', 'location')","('fonseca', 'santos')","('car', 'fonseca'); ('car', 'laredo, texas'); ('car', 'santos')","('border patrol checkpoint', 'fonseca'); ('border patrol checkpoint', 'laredo, texas'); ('border patrol checkpoint', 'santos'); ('fonseca', 'laredo, texas'); ('laredo, texas', 'santos')"
26,1,0,0,0,0,0,"('yusif ahmed rufied', 'person')",,,,,
27,2,5,2,1,2,5,"('highway 59', 'routes'); ('joe silva', 'person')","('agent henderson', 'border patrol'); ('agent henderson', 'joe silva'); ('agent henderson', 'person'); ('border patrol', 'organization'); ('joe silva', 'border patrol')","('border patrol checkpoint', 'location'); ('henderson', 'person')","('highway 59', 'joe silva')","('agent henderson', 'highway 59'); ('border patrol', 'highway 59')","('border patrol checkpoint', 'henderson'); ('border patrol checkpoint', 'highway 59'); ('border patrol checkpoint', 'joe silva'); ('henderson', 'highway 59'); ('henderson', 'joe silva')"
28,3,3,2,0,3,8,"('interstate 35', 'routes'); ('route 133', 'routes'); ('white pickup truck', 'means_of_transportation')","('agent silva', 'person'); ('illegal aliens', 'person'); ('roving patrol', 'person')","('aliens', 'person'); ('silva', 'person')",,"('agent silva', 'illegal aliens'); ('agent silva', 'white pickup truck'); ('illegal aliens', 'white pickup truck')","('aliens', 'silva'); ('aliens', 'white pickup truck'); ('interstate 35', 'route 133'); ('interstate 35', 'silva'); ('interstate 35', 'white pickup truck'); ('route 133', 'silva'); ('route 133', 'white pickup truck'); ('silva', 'white pickup truck')"
29,3,1,3,2,3,7,"('black dodge truck', 'means_of_transportation'); ('farm-to-market road 2050', 'routes'); ('u.s. 59', 'routes')","('white malibu', 'means_of_transportation')","('border patrol station', 'location'); ('checkpoint office', 'location'); ('white malibu sedan', 'means_of_transportation')","('black dodge truck', 'farm-to-market road 2050'); ('black dodge truck', 'u.s. 59')","('black dodge truck', 'white malibu'); ('farm-to-market road 2050', 'white malibu'); ('u.s. 59', 'white malibu')","('black dodge truck', 'white malibu sedan'); ('border patrol station', 'checkpoint office'); ('border patrol station', 'farm-to-market road 2050'); ('checkpoint office', 'farm-to-market road 2050'); ('farm-to-market road 2050', 'u.s. 59'); ('farm-to-market road 2050', 'white malibu sedan'); ('u.s. 59', 'white malibu sedan')"
30,2,1,2,0,2,6,"('durant', 'person'); ('truck', 'means_of_transportation')","('illegal aliens', 'smuggled_items')","('aliens', 'person'); ('trailer', 'means_of_transportation')",,"('durant', 'illegal aliens'); ('illegal aliens', 'truck')","('aliens', 'durant'); ('aliens', 'trailer'); ('aliens', 'truck'); ('durant', 'trailer'); ('durant', 'truck'); ('trailer', 'truck')"
31,4,0,0,3,0,2,"('aliens', 'person'); ('durant', 'person'); ('houston, texas', 'location'); ('trailer', 'means_of_transportation')",,,"('aliens', 'durant'); ('aliens', 'houston, texas'); ('durant', 'trailer')",,"('aliens', 'trailer'); ('durant', 'houston, texas')"
32,2,2,2,0,3,6,"('encinal, texas', 'location'); ('highway 83', 'routes')","('agent monterojas', 'person'); ('border patrol', 'organization')","('border patrol checkpoint', 'location'); ('monterojas', 'person')",,"('agent monterojas', 'border patrol'); ('agent monterojas', 'encinal, texas'); ('agent monterojas', 'highway 83')","('border patrol checkpoint', 'encinal, texas'); ('border patrol checkpoint', 'highway 83'); ('border patrol checkpoint', 'monterojas'); ('encinal, texas', 'highway 83'); ('encinal, texas', 'monterojas'); ('highway 83', 'monterojas')"
33,2,3,3,1,3,8,"('ashley flores', 'person'); ('monterojas', 'person')","('checkpoint', 'location'); ('undocumented aliens', 'person'); ('vehicle', 'means_of_transportation')","('aliens', 'person'); ('border patrol checkpoint', 'location'); ('trunk', 'means_of_transportation')","('ashley flores', 'monterojas')","('ashley flores', 'vehicle'); ('checkpoint', 'monterojas'); ('monterojas', 'undocumented aliens')","('aliens', 'ashley flores'); ('aliens', 'monterojas'); ('aliens', 'trunk'); ('ashley flores', 'border patrol checkpoint'); ('ashley flores', 'trunk'); ('border patrol checkpoint', 'monterojas'); ('border patrol checkpoint', 'trunk'); ('monterojas', 'trunk')"
34,3,0,0,2,0,1,"('descargas', 'person'); ('jaquez', 'person'); ('whatsapp', 'means_of_communication')",,,"('descargas', 'jaquez'); ('jaquez', 'whatsapp')",,"('descargas', 'whatsapp')"
35,2,1,1,0,2,2,"('benavides, texas', 'location'); ('state highway 359', 'routes')","('border patrol agent jose jalomos', 'person')","('jose jalomos', 'person')",,"('benavides, texas', 'border patrol agent jose jalomos'); ('border patrol agent jose jalomos', 'state highway 359')","('benavides, texas', 'state highway 359'); ('jose jalomos', 'state highway 359')"
36,2,2,2,0,3,6,"('encinal, texas', 'location'); ('highway 83', 'routes')","('agent monterojas', 'person'); ('border patrol agent', 'person')","('border patrol checkpoint', 'location'); ('monterojas', 'person')",,"('agent monterojas', 'border patrol agent'); ('agent monterojas', 'encinal, texas'); ('agent monterojas', 'highway 83')","('border patrol checkpoint', 'encinal, texas'); ('border patrol checkpoint', 'highway 83'); ('border patrol checkpoint', 'monterojas'); ('encinal, texas', 'highway 83'); ('encinal, texas', 'monterojas'); ('highway 83', 'monterojas')"
37,2,2,1,0,3,2,"('highway 122', 'routes'); ('van', 'means_of_transportation')","('border patrol agent mary castillo', 'person'); ('migrant', 'person')","('maria castillo', 'person')",,"('border patrol agent mary castillo', 'highway 122'); ('border patrol agent mary castillo', 'migrant'); ('border patrol agent mary castillo', 'van')","('border patrol agent', 'maria castillo'); ('highway 122', 'maria castillo')"
38,2,0,1,1,0,2,"('oaxaca, mexico', 'location'); ('santos', 'person')",,"('migrants', 'person')","('oaxaca, mexico', 'santos')",,"('migrants', 'oaxaca, mexico'); ('migrants', 'santos')"
39,0,4,3,0,3,3,,"('border patrol agents', 'person'); ('el centro station', 'location'); ('ranch hand', 'person'); ('silver creek ranch', 'location')","('migrants', 'person'); ('oaxaca, mexico', 'location'); ('santos', 'person')",,"('border patrol agents', 'ranch hand'); ('border patrol agents', 'silver creek ranch'); ('ranch hand', 'silver creek ranch')","('migrants', 'oaxaca, mexico'); ('migrants', 'santos'); ('oaxaca, mexico', 'santos')"
40,2,0,1,1,1,2,"('el paso', 'location'); ('santos', 'person')",,"('migrants', 'person')","('el paso', 'santos')","('person', 'santos')","('el paso', 'migrants'); ('migrants', 'santos')"
41,2,2,1,1,1,2,"('dark green chevy tahoe', 'means_of_transportation'); ('sr-45', 'routes')","('agent elana morales', 'person'); ('elana morales', 'person')","('elena morales', 'person')","('dark green chevy tahoe', 'sr-45')","('dark green chevy tahoe', 'elana morales')","('dark green chevy tahoe', 'elena morales'); ('elena morales', 'sr-45')"
42,3,0,0,2,0,1,"('carlos jimenez', 'person'); ('compact suv', 'means_of_transportation'); ('freeway 89', 'routes')",,,"('carlos jimenez', 'compact suv'); ('carlos jimenez', 'freeway 89')",,"('compact suv', 'freeway 89')"
43,4,0,2,3,0,7,"('diego', 'person'); ('guatemala', 'location'); ('lucia romero-alvarez', 'person'); ('phoenix', 'location')",,"('cousin', 'person'); ('u.s.', 'location')","('diego', 'guatemala'); ('diego', 'lucia romero-alvarez'); ('diego', 'phoenix')",,"('cousin', 'diego'); ('cousin', 'lucia romero-alvarez'); ('cousin', 'phoenix'); ('diego', 'u.s.'); ('guatemala', 'lucia romero-alvarez'); ('lucia romero-alvarez', 'phoenix'); ('lucia romero-alvarez', 'u.s.')"
44,3,1,0,1,2,2,"('highway 286', 'routes'); ('ron torralba', 'person'); ('van', 'means_of_transportation')","('border patrol agents', 'person')",,"('highway 286', 'van')","('border patrol agents', 'ron torralba'); ('border patrol agents', 'van')","('highway 286', 'ron torralba'); ('ron torralba', 'van')"
45,2,0,1,1,0,2,"('garcia', 'person'); ('san luis, potosi, mexico', 'location')",,"('aliens', 'person')","('garcia', 'san luis, potosi, mexico')",,"('aliens', 'garcia'); ('aliens', 'san luis, potosi, mexico')"
46,2,2,2,1,2,4,"('la moca ranch', 'location'); ('laredo south station', 'location')","('border patrol agents', 'person'); ('undocumented female alien', 'person')","('aliens', 'person'); ('ranch hand', 'person')","('la moca ranch', 'laredo south station')","('border patrol agents', 'la moca ranch'); ('border patrol agents', 'undocumented female alien')","('aliens', 'la moca ranch'); ('aliens', 'ranch hand'); ('la moca ranch', 'ranch hand'); ('laredo south station', 'ranch hand')"
47,2,2,1,1,3,2,"('garcia', 'person'); ('san antonio', 'location')","('$400', 'smuggled_items'); ('alian', 'person')","('aliens', 'person')","('garcia', 'san antonio')","('$400', 'garcia'); ('alian', 'garcia'); ('alian', 'san antonio')","('aliens', 'garcia'); ('aliens', 'san antonio')"
48,2,1,1,0,2,3,"('ih-35', 'routes'); ('maroon ford expedition', 'means_of_transportation')","('agent ortiz', 'person')","('ortiz', 'person')",,"('agent ortiz', 'ih-35'); ('agent ortiz', 'maroon ford expedition')","('ih-35', 'maroon ford expedition'); ('ih-35', 'ortiz'); ('maroon ford expedition', 'ortiz')"
49,3,0,0,2,0,1,"('fernando munoz-martinez', 'person'); ('interstate 35', 'routes'); ('pickup-truck', 'means_of_transportation')",,,"('fernando munoz-martinez', 'interstate 35'); ('fernando munoz-martinez', 'pickup-truck')",,"('interstate 35', 'pickup-truck')"
50,6,1,1,4,2,8,"('fabiola beatriz contreras-puente', 'person'); ('houston', 'location'); ('mexico', 'location'); ('paolo', 'person'); ('san antonio', 'location'); ('united states', 'location')","('$1,000', 'smuggled_items')","('fabiola's brother', 'person')","('fabiola beatriz contreras-puente', 'paolo'); ('fabiola beatriz contreras-puente', 'san antonio'); ('mexico', 'paolo'); ('paolo', 'united states')","('$1,000', 'paolo'); ('fabiola beatriz contreras-puente', 'houston')","('fabiola beatriz contreras-puente', 'fabiola's brother'); ('fabiola beatriz contreras-puente', 'mexico'); ('fabiola beatriz contreras-puente', 'united states'); ('fabiola's brother', 'houston'); ('fabiola's brother', 'paolo'); ('fabiola's brother', 'san antonio'); ('mexico', 'united states'); ('paolo', 'san antonio')"
51,3,0,0,2,0,1,"('contreras-puente', 'person'); ('nuevo laredo, tamaulipas, mexico', 'location'); ('paolo', 'person')",,,"('contreras-puente', 'paolo'); ('nuevo laredo, tamaulipas, mexico', 'paolo')",,"('contreras-puente', 'nuevo laredo, tamaulipas, mexico')"
52,3,1,2,2,1,8,"('1982 ford f-150 extended cab pickup truck', 'means_of_transportation'); ('laredo, texas', 'location'); ('mines road', 'routes')","('border patrol agent', 'person')","('border patrol agents', 'person'); ('commercial gravel pit', 'location')","('1982 ford f-150 extended cab pickup truck', 'laredo, texas'); ('1982 ford f-150 extended cab pickup truck', 'mines road')","('1982 ford f-150 extended cab pickup truck', 'border patrol agent')","('1982 ford f-150 extended cab pickup truck', 'border patrol agents'); ('1982 ford f-150 extended cab pickup truck', 'commercial gravel pit'); ('border patrol agents', 'commercial gravel pit'); ('border patrol agents', 'laredo, texas'); ('border patrol agents', 'mines road'); ('commercial gravel pit', 'laredo, texas'); ('commercial gravel pit', 'mines road'); ('laredo, texas', 'mines road')"
53,4,3,1,3,4,7,"('interstate 988', 'routes'); ('miguel alvarez', 'person'); ('stash house', 'location'); ('undocumented aliens', 'person')","('illegal weapons', 'smuggled_items'); ('nuево lεón', 'location'); ('smuggler', 'person')","('nuevo león', 'location')","('interstate 988', 'undocumented aliens'); ('miguel alvarez', 'undocumented aliens'); ('stash house', 'undocumented aliens')","('illegal weapons', 'miguel alvarez'); ('illegal weapons', 'stash house'); ('miguel alvarez', 'smuggler'); ('nuево lεón', 'stash house')","('interstate 988', 'miguel alvarez'); ('interstate 988', 'nuevo león'); ('interstate 988', 'stash house'); ('miguel alvarez', 'nuevo león'); ('miguel alvarez', 'stash house'); ('nuevo león', 'stash house'); ('nuevo león', 'undocumented aliens')"
54,5,1,0,4,0,6,"('abraham esqueda', 'person'); ('interstate highway 35', 'routes'); ('laredo', 'location'); ('san antonio', 'location'); ('victor barberena', 'person')","('victor barberena', 'abraham esqueda')",,"('abraham esqueda', 'interstate highway 35'); ('abraham esqueda', 'victor barberena'); ('interstate highway 35', 'victor barberena'); ('laredo', 'san antonio')",,"('abraham esqueda', 'laredo'); ('abraham esqueda', 'san antonio'); ('interstate highway 35', 'laredo'); ('interstate highway 35', 'san antonio'); ('laredo', 'victor barberena'); ('san antonio', 'victor barberena')"
55,3,0,0,2,0,1,"('agents', 'person'); ('delacruz', 'person'); ('nissan', 'means_of_transportation')",,,"('agents', 'delacruz'); ('delacruz', 'nissan')",,"('agents', 'nissan')"
56,4,0,0,2,0,4,"('exit 101', 'routes'); ('gas station', 'location'); ('pearsall', 'location'); ('vehicle', 'means_of_transportation')",,,"('exit 101', 'pearsall'); ('gas station', 'vehicle')",,"('exit 101', 'gas station'); ('exit 101', 'vehicle'); ('gas station', 'pearsall'); ('pearsall', 'vehicle')"
57,1,1,2,0,1,3,"('ranch', 'location')","('white 1992 ford pickup truck', 'means_of_transportation')","('1992 ford pickup truck', 'means_of_transportation'); ('gate', 'location')",,"('ranch', 'white 1992 ford pickup truck')","('1992 ford pickup truck', 'gate'); ('1992 ford pickup truck', 'ranch'); ('gate', 'ranch')"
58,4,2,1,3,2,4,"('dominican republic', 'location'); ('movant', 'person'); ('rio grande river', 'location'); ('united states', 'location')","('hidalgo, texas', 'location'); ('port of entry', 'location')","('hidalgo, texas, port of entry', 'location')","('dominican republic', 'movant'); ('movant', 'rio grande river'); ('movant', 'united states')","('hidalgo, texas', 'movant'); ('movant', 'port of entry')","('hidalgo, texas, port of entry', 'movant'); ('hidalgo, texas, port of entry', 'rio grande river'); ('hidalgo, texas, port of entry', 'united states'); ('rio grande river', 'united states')"
59,1,1,2,0,1,2,"('truck', 'means_of_transportation')","('border patrol agent sarah lee', 'person')","('border patrol agent', 'person'); ('sarah lee', 'person')",,"('border patrol agent sarah lee', 'truck')","('border patrol agent', 'sarah lee'); ('sarah lee', 'truck')"
60,1,1,2,1,0,2,"('sofia navarro', 'person')","('barb wire fence', 'means_of_transportation')","('agents', 'person'); ('barb wire fence', 'location')","('barb wire fence', 'sofia navarro')",,"('agents', 'barb wire fence'); ('agents', 'sofia navarro')"
61,5,0,0,5,0,5,"('freer, texas', 'location'); ('immigration checkpoint', 'location'); ('mcmillon', 'person'); ('tractor-trailer', 'means_of_transportation'); ('williams', 'person')",,,"('freer, texas', 'mcmillon'); ('freer, texas', 'williams'); ('mcmillon', 'tractor-trailer'); ('mcmillon', 'williams'); ('tractor-trailer', 'williams')",,"('freer, texas', 'immigration checkpoint'); ('freer, texas', 'tractor-trailer'); ('immigration checkpoint', 'mcmillon'); ('immigration checkpoint', 'tractor-trailer'); ('immigration checkpoint', 'williams')"
62,1,1,1,0,1,1,"('williams', 'person')","('agent pena', 'person')","('pena', 'person')",,"('agent pena', 'williams')","('pena', 'williams')"
63,4,0,0,3,0,3,"('gary haston', 'person'); ('heather vargas', 'person'); ('ih-35', 'routes'); ('williamson county sheriff's office', 'organization')",,,"('gary haston', 'heather vargas'); ('gary haston', 'ih-35'); ('heather vargas', 'ih-35')",,"('gary haston', 'williamson county sheriff's office'); ('heather vargas', 'williamson county sheriff's office'); ('ih-35', 'williamson county sheriff's office')"
64,1,1,2,1,0,2,"('2008 chevrolet truck', 'means_of_transportation')","('scissor lift', 'smuggled_items')","('flatbed trailer', 'means_of_transportation'); ('scissor lift', 'means_of_transportation')","('2008 chevrolet truck', 'scissor lift')",,"('2008 chevrolet truck', 'flatbed trailer'); ('flatbed trailer', 'scissor lift')"
65,4,0,2,3,0,5,"('dallas', 'location'); ('laredo', 'location'); ('saldana', 'person'); ('scissor lift', 'means_of_transportation')",,"('officers', 'person'); ('owner', 'person')","('dallas', 'scissor lift'); ('laredo', 'saldana'); ('saldana', 'scissor lift')",,"('dallas', 'laredo'); ('dallas', 'saldana'); ('officers', 'saldana'); ('owner', 'saldana'); ('owner', 'scissor lift')"
66,3,0,1,2,0,4,"('1996 mercury cougar', 'means_of_transportation'); ('arce-jasso', 'person'); ('i-35', 'routes')",,"('border patrol checkpoint', 'location')","('1996 mercury cougar', 'arce-jasso'); ('arce-jasso', 'i-35')",,"('1996 mercury cougar', 'border patrol checkpoint'); ('1996 mercury cougar', 'i-35'); ('arce-jasso', 'border patrol checkpoint'); ('border patrol checkpoint', 'i-35')"
67,1,1,1,0,1,1,"('arce-jasso', 'person')","('agent garcia', 'person')","('garcia', 'person')",,"('agent garcia', 'arce-jasso')","('arce-jasso', 'garcia')"
