Sr.No.,Input_Text,TP_ent,FP_ent,FN_ent,TP_rel,FP_rel,FN_rel,TP_ent_pairs,FP_ent_pairs,FN_ent_pairs,TP_rel_pairs,FP_rel_pairs,FN_rel_pairs
11,Agent Silva was conducting a roving patrol around the intersection of Interstate 35 and Route 133 when he heard the report on his service radio about the white pickup truck possibly loaded with illegal aliens.,4,2,1,2,5,4,"('interstate 35', 'routes'); ('route 133', 'routes'); ('service radio', 'means_of_communication'); ('white pickup truck', 'means_of_transportation')","('agent silva', 'person'); ('illegal aliens', 'smuggled_items')","('silva', 'person')","('service radio', 'white pickup truck'); ('white pickup truck', 'interstate 35')","('agent silva', 'interstate 35'); ('agent silva', 'route 133'); ('agent silva', 'service radio'); ('illegal aliens', 'interstate 35'); ('illegal aliens', 'route 133')","('silva', 'interstate 35'); ('silva', 'route 133'); ('silva', 'service radio'); ('silva', 'white pickup truck')"
12,"The two vehicles, a ""white Malibu"" sedan and a ""black Dodge truck,"" had exited off of U.S. 59 to the right and turned southbound onto Farm-to-Market Road 2050.",4,0,0,4,0,0,"('black dodge truck', 'means_of_transportation'); ('farm-to-market road 2050', 'routes'); ('u.s. 59', 'routes'); ('white malibu sedan', 'means_of_transportation')",,,"('black dodge truck', 'farm-to-market road 2050'); ('black dodge truck', 'u.s. 59'); ('white malibu sedan', 'farm-to-market road 2050'); ('white malibu sedan', 'u.s. 59')",,
13,One contact in the cellphone was Tony Primo.,1,0,1,0,1,1,"('cellphone', 'means_of_communication')",,"('tony primo', 'person')",,"('cellphone', 'tony primo')","('tony primo', 'cellphone')"
14,"On November 15, 2005, Andrea Gonzalez-Perales drove three female passengers to the primary inspection lane of a border patrol checkpoint north of Laredo, Texas.",2,0,2,0,1,4,"('andrea gonzalez-perales', 'person'); ('laredo, texas', 'location')",,"('border patrol checkpoint', 'location'); ('three female passengers', 'person')",,"('andrea gonzalez-perales', 'laredo, texas')","('andrea gonzalez-perales', 'border patrol checkpoint'); ('andrea gonzalez-perales', 'three female passengers'); ('border patrol checkpoint', 'laredo, texas'); ('three female passengers', 'border patrol checkpoint')"
15,"On or about June 12, 2006, within the Southern District of Texas, the Defendant Daniel Hernandez-Lopez, who was then and there an alien, upon his entry into the United States from Mexico at or near Hidalgo, Texas, did knowingly elude examination and inspection by immigration officers.",4,0,0,5,0,0,"('daniel hernandez-lopez', 'person'); ('hidalgo, texas', 'location'); ('mexico', 'location'); ('southern district of texas', 'location')",,,"('daniel hernandez-lopez', 'hidalgo, texas'); ('daniel hernandez-lopez', 'mexico'); ('daniel hernandez-lopez', 'southern district of texas'); ('mexico', 'hidalgo, texas'); ('southern district of texas', 'hidalgo, texas')",,
16,Two of the aliens found in Yusuf's trailer also testified. Both acknowledged that they paid several thousand dollars to be smuggled into the United States.,2,0,2,1,0,3,"('aliens', 'person'); ('yusuf', 'person')",,"('trailer', 'means_of_transportation'); ('united states', 'location')","('yusuf', 'aliens')",,"('aliens', 'trailer'); ('aliens', 'united states'); ('yusuf', 'trailer')"
17,"Substantial evidence was presented at trial that on November 21, 1980, Ortega-Chavez and Ramon Gonzalez Sanchez left the United States and entered Mexico at Nuevo Laredo. That same day, Sanchez applied for and received a permit to return to the United States with certain described merchandise. From Nuevo Laredo he and Ortega-Chavez proceeded to Sabinas Hidalgo, Mexico. The next day, November 22, these two met with Alejandro Gonzalez Delgado and five undocumented aliens at a restaurant in Sabinas Hidalgo. From the restaurant, all eight took a bus to Nuevo Laredo. The five undocumented aliens then took a taxi from the Nuevo Laredo bus terminal to a point close to the bridge leading into the United States. Appellant Ortega-Chavez, Sanchez, and Alejandro Gonzalez Delgado arrived at the bridge in a van. Ortega-Chavez instructed the five aliens to get into a hidden compartment in the van and to remain silent. The van was driven by Sanchez. Approximately halfway across the bridge, Ortega-Chavez got out of the van.",6,2,6,4,4,7,"('alejandro gonzalez delgado', 'person'); ('nuevo laredo', 'location'); ('ortega-chavez', 'person'); ('ramon gonzalez sanchez', 'person'); ('sabinas hidalgo', 'location'); ('united states', 'location')","('november 21, 1980', 'date'); ('november 22, 1980', 'date')","('bridge', 'location'); ('bus', 'means_of_transportation'); ('five undocumented aliens', 'person'); ('mexico', 'location'); ('taxi', 'means_of_transportation'); ('van', 'means_of_transportation')","('ortega-chavez', 'nuevo laredo'); ('ortega-chavez', 'sabinas hidalgo'); ('ortega-chavez', 'united states'); ('ramon gonzalez sanchez', 'united states')","('alejandro gonzalez delgado', 'sabinas hidalgo'); ('ortega-chavez', 'ramon gonzalez sanchez'); ('ramon gonzalez sanchez', 'nuevo laredo'); ('ramon gonzalez sanchez', 'sabinas hidalgo')","('five undocumented aliens', 'bus'); ('five undocumented aliens', 'taxi'); ('five undocumented aliens', 'van'); ('ortega-chavez', 'mexico'); ('ramon gonzalez sanchez', 'mexico'); ('ramon gonzalez sanchez', 'van'); ('van', 'bridge')"
18,"Texas Highway 385 is notorious for smuggling, and in the prior six months, Agent Graham had noticed an increase in alien and smuggling apprehensions on that highway. Agent Graham attributed this increase in activity on Highway 385 to the Border Patrol's enhanced enforcement on other nearby highways.",1,1,3,0,1,4,"('texas highway 385', 'routes')","('agent graham', 'person')","('aliens', 'person'); ('graham', 'person'); ('other nearby highways', 'routes')",,"('agent graham', 'texas highway 385')","('aliens', 'texas highway 385'); ('graham', 'aliens'); ('graham', 'other nearby highways'); ('graham', 'texas highway 385')"
19,"Mejia-Orosco is a citizen of Guatemala. He earns his living trucking curios from Guatemala, through Mexico, to the United States. In April of 1988, on one of his many trips to this country, he brought along Hector Galvencio Paz-Ortega and Carlos Enrique Cruz-Morales, both citizens of Guatemala and purportedly related to Mejia-Orosco. After Mejia-Orosco and his two passengers had travelled through Mexico and arrived in Nuevo Laredo, Tamaulipas, Mexico, Paz-Ortega and Cruz-Morales disembarked.",6,1,1,3,9,1,"('carlos enrique cruz-morales', 'person'); ('guatemala', 'location'); ('hector galvencio paz-ortega', 'person'); ('mejia-orosco', 'person'); ('mexico', 'location'); ('united states', 'location')","('nuevo laredo, tamaulipas, mexico', 'location')","('nuevo laredo', 'location')","('mejia-orosco', 'carlos enrique cruz-morales'); ('mejia-orosco', 'guatemala'); ('mejia-orosco', 'hector galvencio paz-ortega')","('carlos enrique cruz-morales', 'guatemala'); ('carlos enrique cruz-morales', 'mexico'); ('carlos enrique cruz-morales', 'nuevo laredo, tamaulipas, mexico'); ('hector galvencio paz-ortega', 'guatemala'); ('hector galvencio paz-ortega', 'mexico'); ('hector galvencio paz-ortega', 'nuevo laredo, tamaulipas, mexico'); ('mejia-orosco', 'mexico'); ('mejia-orosco', 'nuevo laredo, tamaulipas, mexico'); ('mejia-orosco', 'united states')","('mejia-orosco', 'nuevo laredo')"
20,"Mejia-Orosco drove his van across the bridge into Laredo, Texas. Paz-Ortega and Cruz-Morales waded the Rio Grande. They did not pass through customs and had no legal right to enter this country. Mejia-Orosco and the aliens then regrouped and spent two days in Laredo.",5,0,0,8,0,0,"('cruz-morales', 'person'); ('laredo, texas', 'location'); ('mejia-orosco', 'person'); ('paz-ortega', 'person'); ('rio grande', 'location')",,,"('cruz-morales', 'laredo, texas'); ('cruz-morales', 'rio grande'); ('mejia-orosco', 'cruz-morales'); ('mejia-orosco', 'laredo, texas'); ('mejia-orosco', 'paz-ortega'); ('paz-ortega', 'cruz-morales'); ('paz-ortega', 'laredo, texas'); ('paz-ortega', 'rio grande')",,
21,"During this time, the group contacted relatives of the aliens living in the United States. The family members were instructed to wire Mejia-Orosco funds. He received $ 1,000 from Paz-Ortega's family in Los Angeles and $ 1,700 from relatives of Cruz-Morales living in New York City. Two days after arriving, the three drove to the Laredo International Airport. Mejia-Orosco supplied the aliens with airline tickets to San Antonio and the key to a motel room there. Later, Mejia-Orosco met the aliens at the motel and drove them to the San Antonio International Airport.",4,3,1,3,3,0,"('cruz-morales', 'person'); ('mejia-orosco', 'person'); ('paz-ortega', 'person'); ('san antonio', 'location')","('laredo', 'location'); ('los angeles', 'location'); ('new york city', 'location')","('laredo international airport', 'location')","('mejia-orosco', 'cruz-morales'); ('mejia-orosco', 'paz-ortega'); ('mejia-orosco', 'san antonio')","('cruz-morales', 'new york city'); ('mejia-orosco', 'laredo'); ('paz-ortega', 'los angeles')",
22,Mejia-Orosco pled guilty to one count of illegally transporting aliens into the United States. He admits that he received $ 850 from each of the transported aliens in exchange for his illegal services.,1,0,1,0,0,1,"('mejia-orosco', 'person')",,"('aliens', 'smuggled_items')",,,"('mejia-orosco', 'aliens')"
23,"Agent Henderson stated that Defendant and Codefendant are both from Ghana, Africa and both live in Quebec, Montreal, Canada.",3,2,2,3,2,4,"('codefendant', 'person'); ('defendant', 'person'); ('quebec, montreal, canada', 'location')","('africa', 'location'); ('ghana', 'location')","('ghana, africa', 'location'); ('henderson', 'person')","('codefendant', 'quebec, montreal, canada'); ('defendant', 'codefendant'); ('defendant', 'quebec, montreal, canada')","('codefendant', 'ghana'); ('defendant', 'ghana')","('codefendant', 'ghana, africa'); ('defendant', 'ghana, africa'); ('henderson', 'codefendant'); ('henderson', 'defendant')"
24,Agent Henderson testified that the aliens were loaded at Diesel Impact 2000 off of Highway 359.,1,1,3,1,2,5,"('highway 359', 'routes')","('agent henderson', 'person')","('aliens', 'person'); ('diesel impact 2000', 'location'); ('henderson', 'person')","('diesel impact 2000', 'highway 359')","('agent henderson', 'diesel impact 2000'); ('agent henderson', 'highway 359')","('aliens', 'diesel impact 2000'); ('aliens', 'highway 359'); ('henderson', 'aliens'); ('henderson', 'diesel impact 2000'); ('henderson', 'highway 359')"
25,"The criminal complaint set forth that the car Santos was driving was inspected as he approached a border patrol checkpoint in Laredo , Texas , and that Fonseca was found in the rear seat.",3,0,1,3,0,3,"('fonseca', 'person'); ('laredo, texas', 'location'); ('santos', 'person')",,"('border patrol checkpoint', 'location')","('fonseca', 'laredo, texas'); ('santos', 'fonseca'); ('santos', 'laredo, texas')",,"('border patrol checkpoint', 'laredo, texas'); ('fonseca', 'border patrol checkpoint'); ('santos', 'border patrol checkpoint')"
26,"Yusif Ahmed Rufied (""Defendant"") was charged by criminal complaint on May 26, 2006.",1,1,0,0,1,0,"('yusif ahmed rufied', 'person')","('may 26, 2006', 'date')",,,"('yusif ahmed rufied', 'may 26, 2006')",
27,"Agent Henderson testified that on May 24, 2006, he was working with ICE Agent Joe Silva when they were called to the Border Patrol check point located on Highway 59.",2,2,2,1,4,5,"('highway 59', 'routes'); ('joe silva', 'person')","('agent henderson', 'person'); ('may 24, 2006', 'date')","('border patrol checkpoint', 'location'); ('henderson', 'person')","('joe silva', 'highway 59')","('agent henderson', 'highway 59'); ('agent henderson', 'joe silva'); ('agent henderson', 'may 24, 2006'); ('joe silva', 'may 24, 2006')","('border patrol checkpoint', 'highway 59'); ('henderson', 'border patrol checkpoint'); ('henderson', 'highway 59'); ('henderson', 'joe silva'); ('joe silva', 'border patrol checkpoint')"
28,Agent Silva was conducting a roving patrol around the intersection of Interstate 35 and Route 133 when he heard the report on his service radio about the white pickup truck possibly loaded with illegal aliens.,3,3,2,1,6,7,"('interstate 35', 'routes'); ('route 133', 'routes'); ('white pickup truck', 'means_of_transportation')","('agent silva', 'person'); ('illegal aliens', 'smuggled_items'); ('service radio', 'means_of_communication')","('aliens', 'person'); ('silva', 'person')","('white pickup truck', 'interstate 35')","('agent silva', 'interstate 35'); ('agent silva', 'route 133'); ('agent silva', 'service radio'); ('illegal aliens', 'interstate 35'); ('illegal aliens', 'route 133'); ('service radio', 'white pickup truck')","('interstate 35', 'route 133'); ('silva', 'aliens'); ('silva', 'interstate 35'); ('silva', 'route 133'); ('silva', 'white pickup truck'); ('white pickup truck', 'aliens'); ('white pickup truck', 'route 133')"
29,"The two vehicles, a ""white Malibu"" sedan and a ""black Dodge truck,"" had exited off of U.S. 59 to the right and turned southbound onto Farm-to-Market Road 2050, a road ""adjacent to the Border Patrol station parking lot,"" about ""150 feet . . . 200 feet, more or less,"" from the checkpoint office.",3,1,3,2,3,7,"('black dodge truck', 'means_of_transportation'); ('farm-to-market road 2050', 'routes'); ('u.s. 59', 'routes')","('white malibu', 'means_of_transportation')","('border patrol station', 'location'); ('checkpoint office', 'location'); ('white malibu sedan', 'means_of_transportation')","('black dodge truck', 'farm-to-market road 2050'); ('black dodge truck', 'u.s. 59')","('u.s. 59', 'farm-to-market road 2050'); ('white malibu', 'farm-to-market road 2050'); ('white malibu', 'u.s. 59')","('border patrol station', 'checkpoint office'); ('farm-to-market road 2050', 'border patrol station'); ('farm-to-market road 2050', 'checkpoint office'); ('farm-to-market road 2050', 'u.s. 59'); ('white malibu sedan', 'black dodge truck'); ('white malibu sedan', 'farm-to-market road 2050'); ('white malibu sedan', 'u.s. 59')"
30,Durant was the sole driver and occupant of the truck in the trailer of which the 20 illegal aliens were discovered.,2,1,2,1,2,5,"('durant', 'person'); ('truck', 'means_of_transportation')","('illegal aliens', 'smuggled_items')","('aliens', 'person'); ('trailer', 'means_of_transportation')","('durant', 'truck')","('durant', 'illegal aliens'); ('truck', 'illegal aliens')","('durant', 'aliens'); ('durant', 'trailer'); ('trailer', 'aliens'); ('truck', 'aliens'); ('truck', 'trailer')"
31,"Finally, given that two of the illegal aliens seized from Durant's trailer had agreed to pay between $ 1,000 and $ 1,200 upon their arrival in Houston, Texas, the jury could have reasonably inferred that Durant would not have been entrusted with such a valuable cargo if she had not been knowledgeable and involved in the alien-smuggling scheme.",2,1,2,1,1,4,"('durant', 'person'); ('houston, texas', 'location')","('$1,000 to $1,200', 'fees')","('aliens', 'person'); ('trailer', 'means_of_transportation')","('durant', 'houston, texas')","('durant', '$1,000 to $1,200')","('aliens', 'houston, texas'); ('aliens', 'trailer'); ('durant', 'aliens'); ('durant', 'trailer')"
32,"On June 6, 2016, Agent Monterojas worked the primary inspection lane at the Border Patrol checkpoint on Highway 83 near Encinal, Texas.",1,3,3,1,2,5,"('encinal, texas', 'location')","('agent monterojas', 'person'); ('highway 83', 'route'); ('june 6, 2016', 'date')","('border patrol checkpoint', 'location'); ('highway 83', 'routes'); ('monterojas', 'person')","('highway 83', 'encinal, texas')","('agent monterojas', 'encinal, texas'); ('agent monterojas', 'highway 83')","('border patrol checkpoint', 'encinal, texas'); ('border patrol checkpoint', 'highway 83'); ('monterojas', 'border patrol checkpoint'); ('monterojas', 'encinal, texas'); ('monterojas', 'highway 83')"
33,"Forty-five seconds later, in the next vehicle, Ashley Flores approached the checkpoint. Monterojas obtained consent to search Flores' trunk. Inside, Monterojas discovered two undocumented aliens.",2,1,3,0,3,9,"('ashley flores', 'person'); ('monterojas', 'person')","('undocumented aliens', 'smuggled_items')","('aliens', 'person'); ('border patrol checkpoint', 'location'); ('trunk', 'means_of_transportation')",,"('ashley flores', 'monterojas'); ('ashley flores', 'undocumented aliens'); ('monterojas', 'undocumented aliens')","('aliens', 'trunk'); ('ashley flores', 'aliens'); ('ashley flores', 'border patrol checkpoint'); ('ashley flores', 'trunk'); ('monterojas', 'aliens'); ('monterojas', 'ashley flores'); ('monterojas', 'border patrol checkpoint'); ('monterojas', 'trunk'); ('trunk', 'border patrol checkpoint')"
34,"On August 28, 2022, Jaquez asked Descargas through WhatsApp whether Descargas had a schedule ""to load the box,""",3,1,0,3,0,0,"('descargas', 'person'); ('jaquez', 'person'); ('whatsapp', 'means_of_communication')","('august 28, 2022', 'date')",,"('descargas', 'whatsapp'); ('jaquez', 'descargas'); ('jaquez', 'whatsapp')",,
35,"On the evening of February 21, 2003, Border Patrol Agent Jose Jalomos, an 11-year veteran, was performing traffic observation duties along State Highway 359 southwest of Benavides, Texas.",3,0,0,1,2,1,"('benavides, texas', 'location'); ('jose jalomos', 'person'); ('state highway 359', 'routes')",,,"('jose jalomos', 'state highway 359')","('jose jalomos', 'benavides, texas'); ('state highway 359', 'benavides, texas')","('benavides, texas', 'state highway 359')"
36,"On June 6, 2016, Agent Monterojas worked the primary inspection lane at the Border Patrol checkpoint on Highway 83 near Encinal, Texas.",1,3,3,1,2,5,"('encinal, texas', 'location')","('agent monterojas', 'person'); ('highway 83', 'route'); ('june 6, 2016', 'date')","('border patrol checkpoint', 'location'); ('highway 83', 'routes'); ('monterojas', 'person')","('highway 83', 'encinal, texas')","('agent monterojas', 'encinal, texas'); ('agent monterojas', 'highway 83')","('border patrol checkpoint', 'encinal, texas'); ('border patrol checkpoint', 'highway 83'); ('monterojas', 'border patrol checkpoint'); ('monterojas', 'encinal, texas'); ('monterojas', 'highway 83')"
37,Border Patrol Agent Maria Castillo stopped a van traveling on Highway 122.,3,0,0,1,2,1,"('highway 122', 'routes'); ('maria castillo', 'person'); ('van', 'means_of_transportation')",,,"('maria castillo', 'highway 122')","('maria castillo', 'van'); ('van', 'highway 122')","('maria castillo', 'border patrol agent')"
38,"On May 15, 2002, Santos approached a group of undocumented migrants in Oaxaca, Mexico.",2,0,1,1,0,2,"('oaxaca, mexico', 'location'); ('santos', 'person')",,"('migrants', 'person')","('santos', 'oaxaca, mexico')",,"('migrants', 'oaxaca, mexico'); ('santos', 'migrants')"
39,Border patrol agents from the El Centro Station were alerted by a ranch hand about an undocumented female migrant at the Silver Creek Ranch.,0,3,3,0,3,3,,"('ranch hand', 'person'); ('silver creek ranch', 'location'); ('undocumented female migrant', 'person')","('migrants', 'person'); ('oaxaca, mexico', 'location'); ('santos', 'person')",,"('ranch hand', 'silver creek ranch'); ('ranch hand', 'undocumented female migrant'); ('undocumented female migrant', 'silver creek ranch')","('migrants', 'oaxaca, mexico'); ('santos', 'migrants'); ('santos', 'oaxaca, mexico')"
40,Santos stated he was the only guide for the group and was guiding them to El Paso for $500 per migrant.,2,1,1,1,2,2,"('el paso', 'location'); ('santos', 'person')","('$500', 'fees')","('migrants', 'person')","('santos', 'el paso')","('el paso', '$500'); ('santos', '$500')","('migrants', 'el paso'); ('santos', 'migrants')"
41,Agent Elena Morales noticed a dark green Chevy Tahoe traveling southbound on SR-45.,2,1,1,1,2,2,"('elena morales', 'person'); ('sr-45', 'routes')","('chevy tahoe', 'means_of_transportation')","('dark green chevy tahoe', 'means_of_transportation')","('elena morales', 'sr-45')","('chevy tahoe', 'sr-45'); ('elena morales', 'chevy tahoe')","('dark green chevy tahoe', 'sr-45'); ('elena morales', 'dark green chevy tahoe')"
42,Carlos Jimenez was driving a compact SUV south on Freeway 89.,2,1,1,1,2,2,"('carlos jimenez', 'person'); ('compact suv', 'means_of_transportation')","('freway 89', 'routes')","('freeway 89', 'routes')","('carlos jimenez', 'compact suv')","('carlos jimenez', 'freway 89'); ('compact suv', 'freway 89')","('carlos jimenez', 'freeway 89'); ('compact suv', 'freeway 89')"
43,"One of the passengers, Lucia Romero-Alvarez, testified she found a smuggler named Diego to take her from Guatemala to the U.S., and her cousin in Phoenix paid him $900 upon her arrival.",5,1,1,5,3,5,"('diego', 'person'); ('guatemala', 'location'); ('lucia romero-alvarez', 'person'); ('phoenix', 'location'); ('u.s.', 'location')","('$900', 'fees')","('cousin', 'person')","('diego', 'guatemala'); ('diego', 'u.s.'); ('lucia romero-alvarez', 'diego'); ('lucia romero-alvarez', 'guatemala'); ('lucia romero-alvarez', 'u.s.')","('diego', '$900'); ('lucia romero-alvarez', '$900'); ('phoenix', 'lucia romero-alvarez')","('cousin', 'diego'); ('cousin', 'phoenix'); ('diego', 'phoenix'); ('lucia romero-alvarez', 'cousin'); ('lucia romero-alvarez', 'phoenix')"
44,Border Patrol Agents Ron Torralba ... stopped a van traveling on Highway 286...,3,0,0,3,0,0,"('highway 286', 'routes'); ('ron torralba', 'person'); ('van', 'means_of_transportation')",,,"('ron torralba', 'highway 286'); ('ron torralba', 'van'); ('van', 'highway 286')",,
45,"On June 4, 2001, Garcia approached a group of nine undocumented aliens in San Luis, Potosi, Mexico.",2,1,1,1,2,2,"('garcia', 'person'); ('san luis, potosi, mexico', 'location')","('june 4, 2001', 'date')","('aliens', 'person')","('garcia', 'san luis, potosi, mexico')","('june 4, 2001', 'garcia'); ('june 4, 2001', 'san luis, potosi, mexico')","('aliens', 'san luis, potosi, mexico'); ('garcia', 'aliens')"
46,Border patrol agents from the Laredo South Station were notified by the ranch hand that an undocumented female alien was in apparent distress at the La Moca Ranch.,1,1,3,0,1,5,"('la moca ranch', 'location')","('laredo', 'location')","('aliens', 'person'); ('laredo south station', 'location'); ('ranch hand', 'person')",,"('laredo', 'la moca ranch')","('aliens', 'la moca ranch'); ('laredo south station', 'la moca ranch'); ('ranch hand', 'aliens'); ('ranch hand', 'la moca ranch'); ('ranch hand', 'laredo south station')"
47,"Garcia stated that he was the only guide for the group, that he was guiding the group to San Antonio for financial gain ($ 400 per alien)...",2,1,1,1,1,2,"('garcia', 'person'); ('san antonio', 'location')","('$400', 'fees')","('aliens', 'person')","('garcia', 'san antonio')","('garcia', '$400')","('aliens', 'san antonio'); ('garcia', 'aliens')"
48,Agent Ortiz noticed a maroon Ford Expedition traveling southbound on IH-35.,1,2,2,0,2,3,"('ih-35', 'routes')","('agent ortiz', 'person'); ('ford expedition', 'means_of_transportation')","('maroon ford expedition', 'means_of_transportation'); ('ortiz', 'person')",,"('agent ortiz', 'ford expedition'); ('ford expedition', 'ih-35')","('maroon ford expedition', 'ih-35'); ('ortiz', 'ih-35'); ('ortiz', 'maroon ford expedition')"
49,Fernando Munoz-Martinez was driving a pickup-truck south on Interstate 35.,3,0,0,3,0,0,"('fernando munoz-martinez', 'person'); ('interstate 35', 'routes'); ('pickup-truck', 'means_of_transportation')",,,"('fernando munoz-martinez', 'interstate 35'); ('fernando munoz-martinez', 'pickup-truck'); ('pickup-truck', 'interstate 35')",,
50,"One of the passengers, Fabiola Beatriz Contreras-Puente, testified at trial that she found a smuggler named Paolo to bring her illegally from Mexico to the United States, and that her brother in Houston agreed to pay him $ 1,000 upon her arrival in San Antonio.",6,1,1,6,2,6,"('fabiola beatriz contreras-puente', 'person'); ('houston', 'location'); ('mexico', 'location'); ('paolo', 'person'); ('san antonio', 'location'); ('united states', 'location')","('$1,000', 'fees')","(""fabiola's brother"", 'person')","('fabiola beatriz contreras-puente', 'mexico'); ('fabiola beatriz contreras-puente', 'paolo'); ('fabiola beatriz contreras-puente', 'san antonio'); ('fabiola beatriz contreras-puente', 'united states'); ('paolo', 'mexico'); ('paolo', 'united states')","('fabiola beatriz contreras-puente', 'houston'); ('paolo', '$1,000')","('fabiola beatriz contreras-puente', ""fabiola's brother""); (""fabiola's brother"", 'houston'); (""fabiola's brother"", 'paolo'); (""fabiola's brother"", 'san antonio'); ('mexico', 'united states'); ('paolo', 'san antonio')"
51,"Paolo drove Contreras-Puente ... to Nuevo Laredo, Tamaulipas, Mexico",3,0,0,2,1,1,"('contreras-puente', 'person'); ('nuevo laredo, tamaulipas, mexico', 'location'); ('paolo', 'person')",,,"('contreras-puente', 'nuevo laredo, tamaulipas, mexico'); ('paolo', 'nuevo laredo, tamaulipas, mexico')","('paolo', 'contreras-puente')","('contreras-puente', 'paolo')"
52,"On August 4, 1999, Border Patrol agents observed a 1982 Ford F-150 extended cab pickup truck pull into a commercial gravel pit adjacent to Mines Road, a divided highway in northern Laredo, Texas.",2,0,3,1,0,9,"('1982 ford f-150 extended cab pickup truck', 'means_of_transportation'); ('border patrol agents', 'person')",,"('commercial gravel pit', 'location'); ('laredo, texas', 'location'); ('mines road', 'routes')","('border patrol agents', '1982 ford f-150 extended cab pickup truck')",,"('1982 ford f-150 extended cab pickup truck', 'commercial gravel pit'); ('1982 ford f-150 extended cab pickup truck', 'laredo, texas'); ('1982 ford f-150 extended cab pickup truck', 'mines road'); ('border patrol agents', 'commercial gravel pit'); ('border patrol agents', 'laredo, texas'); ('border patrol agents', 'mines road'); ('commercial gravel pit', 'laredo, texas'); ('commercial gravel pit', 'mines road'); ('mines road', 'laredo, texas')"
