Row_ID,TP_entities,FP_entities,FN_entities,TP_rel,FP_rel,FN_rel,TP_entity_pairs,FP_entity_pairs,FN_entity_pairs,TP_relation_pairs,FP_relation_pairs,FN_relation_pairs
30,6,0,1,12,2,4,"('border patrol checkpoint', 'location'); ('chapa', 'person'); ('illegal aliens', 'person'); ('jesus pacheco-pina', 'person'); ('laredo', 'location'); ('south texas', 'location')",,"('united states', 'location')","('border patrol checkpoint', 'illegal aliens'); ('border patrol checkpoint', 'jesus pacheco-pina'); ('border patrol checkpoint', 'laredo'); ('border patrol checkpoint', 'united states'); ('chapa', 'jesus pacheco-pina'); ('illegal aliens', 'jesus pacheco-pina'); ('illegal aliens', 'laredo'); ('illegal aliens', 'south texas'); ('illegal aliens', 'united states'); ('jesus pacheco-pina', 'laredo'); ('jesus pacheco-pina', 'south texas'); ('jesus pacheco-pina', 'united states')","('border patrol checkpoint', 'bouth texas'); ('bouth texas', 'laredo')","('border patrol checkpoint', 'south texas'); ('laredo', 'south texas'); ('laredo', 'united states'); ('south texas', 'united states')"
31,2,2,3,10,0,0,"('14 individuals', 'person'); ('homeland security investigations', 'organization')","('marine task force (organization', 'a organization that on august 24 worked in conjunction with u.s. border patrol agents, homeland security investigations, and air and marine operations to arrest 14 individuals connected to a maritime smuggling event)


(""entity""'); ('u.s. border patrol', 'ents')","('air and marine operations', 'organization'); ('marine task force', 'organization'); ('u.s. border patrol agents', 'person')","('14 individuals', 'air and marine operations'); ('14 individuals', 'homeland security investigations'); ('14 individuals', 'marine task force'); ('14 individuals', 'u.s. border patrol agents'); ('air and marine operations', 'homeland security investigations'); ('air and marine operations', 'marine task force'); ('air and marine operations', 'u.s. border patrol agents'); ('homeland security investigations', 'marine task force'); ('homeland security investigations', 'u.s. border patrol agents'); ('marine task force', 'u.s. border patrol agents')",,
32,2,1,0,0,0,1,"('boat', 'means_of_transportation'); ('two men', 'person')","('two men', 'boat')",,,,"('boat', 'two men')"
33,4,0,1,2,2,2,"('illegal immigrants', 'person'); ('relatives', 'person'); ('smugglers', 'person'); ('united states', 'location')",,"('friends', 'person')","('illegal immigrants', 'smugglers'); ('relatives', 'smugglers')","('friends', 'ilugglers'); ('smlegal immigrants', 'united states')","('friends', 'smugglers'); ('illegal immigrants', 'united states')"
34,1,0,0,0,0,0,"('handguns', 'smuggled_items')",,,,,
35,3,1,0,1,0,1,"('18-wheeler', 'means_of_transportation'); ('sai deshpande', 'person'); ('smuggler', 'person')","('sai deshpande', 'smuggler')",,"('18-wheeler', 'sai deshpande')",,"('sai deshpande', 'smuggler')"
36,7,0,2,22,2,3,"('el salvador', 'location'); ('guatemala', 'location'); ('homero zamorano, jr.', 'person'); ('honduras', 'location'); ('human smuggling organization', 'organization'); ('mexico', 'location'); ('united states', 'location')",,"('adults', 'person'); ('children', 'person')","('adults', 'el salvador'); ('adults', 'honduras'); ('adults', 'human smuggling organization'); ('adults', 'mexico'); ('adults', 'united states'); ('children', 'el salvador'); ('children', 'guatemala'); ('children', 'homero zamorano, jr.'); ('children', 'honduras'); ('children', 'human smuggling organization'); ('children', 'mexico'); ('children', 'united states'); ('el salvador', 'homero zamorano, jr.'); ('el salvador', 'human smuggling organization'); ('guatemala', 'human smuggling organization'); ('homero zamorano, jr.', 'honduras'); ('homero zamorano, jr.', 'human smuggling organization'); ('homero zamorano, jr.', 'mexico'); ('homero zamorano, jr.', 'united states'); ('honduras', 'human smuggling organization'); ('human smuggling organization', 'mexico'); ('human smuggling organization', 'united states')","('adults', 'childatemala'); ('homero zamorano, jr.', 'unitatemala')","('adults', 'guatemala'); ('adults', 'homero zamorano, jr.'); ('guatemala', 'homero zamorano, jr.')"
37,2,0,1,0,1,1,"('el salvador', 'location'); ('mr. mejia-morales', 'person')",,"('guatemala', 'location')",,"('guatemala', 'mr. mejia-morales')","('guatemalan', 'mr. mejia-morales')"
38,1,1,2,2,0,1,"('stolen chevy tahoe', 'means_of_transportation')","('stuston', 'location')","('houston', 'location'); ('south texas', 'location')","('houston', 'stolen chevy tahoe'); ('south texas', 'stolen chevy tahoe')",,"('houston', 'south texas')"
39,5,0,2,4,3,5,"('be-350 multi-role enforcement aircraft', 'means_of_transportation'); ('lights out vessel', 'means_of_transportation'); ('maritime boundary line', 'location'); ('san diego air & marine branch', 'organization'); ('southern california coast', 'location')",,"('mexico', 'location'); ('united states', 'location')","('be-350 multi-role enforcement aircraft', 'san diego air & marine branch'); ('lights out vessel', 'maritime boundary line'); ('lights out vessel', 'southern california coast'); ('maritime boundary line', 'united states')","('lightitime boundary line', 'mexico'); ('lights out vessel', 'san-350 multi-role enforcement aircraft'); ('mitime boundary line', 'southern california coast')","('be-350 multi-role enforcement aircraft', 'lights out vessel'); ('be-350 multi-role enforcement aircraft', 'southern california coast'); ('maritime boundary line', 'mexico'); ('maritime boundary line', 'southern california coast'); ('mexico', 'united states')"
40,3,0,1,4,1,2,"('fm 2050', 'routes'); ('freeman', 'person'); ('laredo', 'location')",,"('houston', 'location')","('fm 2050', 'freeman'); ('fm 2050', 'houston'); ('freeman', 'houston'); ('freeman', 'laredo')","('fm 2050', 'hoaredo')","('fm 2050', 'laredo'); ('houston', 'laredo')"
41,2,1,2,5,0,1,"('contreras de velasquez', 'person'); ('female passenger', 'person')","('bictoria, texas', 'location')","('undocumented woman', 'person'); ('victoria, texas', 'location')","('contreras de velasquez', 'female passenger'); ('contreras de velasquez', 'undocumented woman'); ('contreras de velasquez', 'victoria, texas'); ('female passenger', 'undocumented woman'); ('undocumented woman', 'victoria, texas')",,"('female passenger', 'victoria, texas')"
42,2,1,1,2,1,1,"('dark green chevy tahoe', 'means_of_transportation'); ('elena morales', 'person')","('d-45', 'routes')","('sr-45', 'routes')","('dark green chevy tahoe', 'elena morales'); ('dark green chevy tahoe', 'sr-45')","('d-45', 'elena morales')","('elena morales', 'sr-45')"
43,0,1,1,0,0,1,,"('mree migrants', 'person')","('three migrants', 'person')",,,"('shore', 'three migrants')"
44,2,0,0,1,0,0,"('diaz-galiana', 'person'); ('ice', 'organization')",,,"('diaz-galiana', 'ice')",,
45,1,2,1,0,0,1,"('ricardo rodriguez', 'person')","('ricardo rodriguez', 'two individuals'); ('trwo individuals', 'person')","('two individuals', 'person')",,,"('ricardo rodriguez', 'two individuals')"
46,1,2,3,4,2,2,"('vehicle', 'means_of_transportation')","('garsall', 'location'); ('p 101', 'routes')","('exit 101', 'routes'); ('gas station', 'location'); ('pearsall', 'location')","('exit 101', 'vehicle'); ('gas station', 'pearsall'); ('gas station', 'vehicle'); ('pearsall', 'vehicle')","('gas station', 'pe 101'); ('pe 101', 'pearsall')","('exit 101', 'gas station'); ('exit 101', 'pearsall')"
47,0,3,4,3,1,3,,"('mdocumented aliens', 'person'); ('med states', 'location'); ('mexicoan hotel room', 'location')","('mexican hotel room', 'location'); ('mexico', 'location'); ('undocumented aliens', 'person'); ('united states', 'location')","('mexican hotel room', 'mexico'); ('mexican hotel room', 'undocumented aliens'); ('mexico', 'undocumented aliens')","('mexican hotel room', 'munited states')","('mexican hotel room', 'united states'); ('mexico', 'united states'); ('undocumented aliens', 'united states')"
48,0,2,3,1,1,1,,"('norgican nationals', 'person'); ('uorder patrol agents', 'person')","('border patrol agents', 'person'); ('mexican nationals', 'person'); ('united states', 'location')","('border patrol agents', 'mexican nationals')","('bexican nationals', 'united states')","('mexican nationals', 'united states')"
49,5,1,0,6,2,4,"('crew', 'person'); ('martinez', 'person'); ('remote beach', 'location'); ('rigid-hull boats', 'means_of_transportation'); ('san quintín, mexico', 'location')","('martinez', 'crew')",,"('martinez', 'remote beach'); ('martinez', 'rigid-hull boats'); ('martinez', 'san quintín, mexico'); ('remote beach', 'rigid-hull boats'); ('remote beach', 'san quintín, mexico'); ('rigid-hull boats', 'san quintín, mexico')","('crew', 'rremote beach'); ('rigid-hull boats', 'rw')","('crew', 'martinez'); ('crew', 'remote beach'); ('crew', 'rigid-hull boats'); ('crew', 'san quintín, mexico')"
50,3,2,2,0,1,0,"('cruz-morales', 'person'); ('mejia-orosco', 'person'); ('san antonio', 'location')","('aliaredo international airport', 'location'); ('san antonio internationallocation', 'a city in texas where paz-ortega and cruz-morales flew to airline room whose key was provided by mejia-orosco)


(""entity""')","('laredo international airport', 'location'); ('paz-ortega', 'person')",,"('cruz-morales', 'mejia-orosco')",
51,2,1,1,3,0,0,"('34 people', 'person'); ('oregon coastline', 'location')","('oreederal agents', 'person')","('federal agents', 'person')","('34 people', 'federal agents'); ('34 people', 'oregon coastline'); ('federal agents', 'oregon coastline')",,
52,1,0,0,0,0,0,"('alvarez', 'person')",,,,,
